setting,factor,level,demand,policy,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_mean_wait_mean,delta_mean_wait_ci_low,delta_mean_wait_ci_high,delta_peak_lae_db_mean,delta_peak_lae_db_ci_low,delta_peak_lae_db_ci_high,delta_peak_budget_utilization_mean,delta_peak_budget_utilization_ci_low,delta_peak_budget_utilization_ci_high,delta_population_weighted_equivalent_mean,delta_population_weighted_equivalent_ci_low,delta_population_weighted_equivalent_ci_high
source_minus_1,source level,-1 dB,45,P2,30,0.0009399745580097374,0.0006891601495980658,0.001190788966421409,-1.4333333333333333,-1.8171756540889596,-1.049491012577707,-5.024900043284663,-6.34216472251463,-3.7076353640546955,0.1792641129336,0.17926353695358224,0.17926468891361777,0.04031947075281665,0.04031934305974518,0.04031959844588812,-18.0022940517973,-18.144635099439455,-17.859953004155145
source_minus_1,source level,-1 dB,45,P3-U,30,0.03146562393162415,0.02679290041960674,0.03613834744364156,-48,-55.197513235945394,-40.802486764054606,-122.38779675895087,-141.24908550823417,-103.52650800966757,-0.029698075599283887,-0.1452145409632135,0.08581838976464573,-0.0006569209137482231,-0.0009762949565654835,-0.0003375468709309628,-22.928489530662045,-23.679049833680388,-22.177929227643702
source_minus_1,source level,-1 dB,45,P3-D,30,0.1603048889390913,0.1509131349056241,0.16969664297255851,-244.2,-258.98495817166656,-229.4150418283334,316.6528715277221,273.2262922383053,360.0794508171389,0.22263479584849885,0.1657068919646296,0.27956269973236814,0.000011700197577850051,-0.000009435373322747345,0.00003283576847844745,4.628141019446847,3.0217599384054106,6.234522100488284
source_minus_1,source level,-1 dB,80,P0,30,0,0,0,0,0,0,0,0,0,-0.9999999999999962,-0.9999999999999994,-0.999999999999993,-0.47304976320421427,-0.47304990528563623,-0.4730496211227923,-166.6936437537648,-166.75455079889852,-166.63273670863109
source_minus_1,source level,-1 dB,80,P1,30,0,0,0,0,0,0,0,0,0,-1.000000000000007,-1.0000000000000098,-1.0000000000000044,-0.410694723572836,-0.4150060581899937,-0.40638338895567827,-30.12114267078211,-30.13783059238521,-30.10445474917901
source_minus_1,source level,-1 dB,80,P2,30,0.0005974664562943155,0.00047873615644023723,0.0007161967561483938,-1.6,-1.9200666597236686,-1.2799333402763315,-7.535970081394483,-9.061382117091512,-6.0105580456974534,0.17926497223470694,0.17926458487853586,0.17926535959087803,0.040319663012423415,0.04031957686554965,0.04031974915929718,-18.565022576801287,-18.60926223373902,-18.520782919863553
source_minus_1,source level,-1 dB,80,P3-U,30,0.022621572943758498,0.022455278506394435,0.02278786738112256,-60.53333333333333,-60.86867112265954,-60.19799554400712,-139.04879592774336,-142.8943628550356,-135.2032290004511,-0.18041340977863266,-0.24464266911567512,-0.1161841504415902,0.00003467482742370853,-0.0000012360574928626297,0.00007058571234027969,-21.704513073705314,-21.747935484268734,-21.661090663141895
source_minus_1,source level,-1 dB,80,P3-D,30,0.11677828211608939,0.1160166614837859,0.11753990274839288,-312.46666666666664,-312.7745447337883,-312.158788599545,475.12172095766175,468.3074673753814,481.9359745399421,0.17945564290911875,0.17930132902806487,0.17960995679017264,-0.000007169130076338052,-0.00002158125089944798,0.000007242990746771875,12.044937876844378,12.008233361238194,12.081642392450561
source_plus_1,source level,+1 dB,45,P0,30,0,0,0,0,0,0,0,0,0,1.0000000000000033,0.9999999999999999,1.0000000000000069,0.5955341183151106,0.5955340068604934,0.5955342297697278,205.90455349912838,204.9596978488158,206.84940914944096
source_plus_1,source level,+1 dB,45,P1,30,0,0,0,0,0,0,0,0,0,1.0000000000000009,0.9999999999999986,1.000000000000003,0.5243657413571655,0.5193898928662055,0.5293415898481255,37.42211127524686,37.27780224348117,37.56642030701256
source_plus_1,source level,+1 dB,45,P2,30,-0.011814512827661206,-0.012453355513111617,-0.011175670142210796,18,16.987860352191127,19.012139647808873,43.605097269678105,37.53188382025381,49.6783107191024,-0.014103540812540416,-0.01410446886960034,-0.014102612755480493,-0.0031020629260541093,-0.00310226700917775,-0.003101858842930469,33.58366799564609,33.420230370164,33.74710562112818
