setting,policy,target,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,queue_north_mean,queue_north_ci_low,queue_north_ci_high,queue_central_mean,queue_central_ci_low,queue_central_ci_high,queue_south_mean,queue_south_ci_low,queue_south_ci_high,trip_north_mean,trip_north_ci_low,trip_north_ci_high,trip_central_mean,trip_central_ci_low,trip_central_ci_high,trip_south_mean,trip_south_ci_low,trip_south_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high
p3d_075_t14.2,P3-D0.75,14.2,0.75,99,30,45.4,45.19844649322834,45.60155350677166,8085.5,8051.482190695387,8119.517809304613,1622.6,1607.564148334386,1637.635851665614,4839.733333333334,4814.489080932143,4864.977585734524,1623.1666666666667,1609.7206865954101,1636.6126467379233,14.533333333333333,14.351756755438918,14.714909911227748,14,14,14,16.866666666666667,16.622814566525424,17.11051876680791,14.445653667690157,14.442487747297527,14.448819588082788,14.157657074765384,14.156647300923122,14.158666848607645,14.465757909730245,14.462584599497012,14.468931219963478
p3d_075_t14.2,P3-D0.75,14.2,0.75,100,30,45.03333333333333,44.813277053524,45.253389613142666,8163.066666666667,8129.284464078487,8196.848869254847,1637.3,1622.2440304701836,1652.3559695298163,4888.466666666666,4863.947752833242,4912.985580500091,1637.3,1623.5889661481215,1651.0110338518784,14.533333333333333,14.351756755438918,14.714909911227748,14,14,14,16.5,16.238385209037077,16.761614790962923,14.465757909730245,14.462584599497012,14.468931219963478,14.155825988840556,14.15472275139249,14.156929226288623,14.48481222608582,14.48166331714311,14.487961135028531
p3d_075_t14.2,P3-D0.75,14.2,0.75,101,30,45.166666666666664,44.89948498009394,45.43384835323939,8249.433333333332,8214.881941329391,8283.984725337274,1655.3,1640.3181196152796,1670.2818803847204,4941.3,4916.983911979028,4965.616088020973,1652.8333333333333,1638.7251877336969,1666.9414789329696,14,14,14,14,14,14,17.166666666666668,16.89948498009394,17.433848353239394,14.48481222608582,14.48166331714311,14.487961135028531,14.156490376098795,14.155150626985836,14.157830125211753,14.50469053110757,14.501680433459951,14.50770062875519
p3d_075_t14.2,P3-D0.75,14.2,0.75,102,30,45.1,44.828446952749076,45.37155304725093,8334.933333333332,8301.056760073236,8368.80990659343,1673.1666666666667,1658.3764281855097,1687.9569051478238,4992.6,4968.307448747717,5016.892551252284,1669.1666666666667,1654.771921382336,1683.5614119509976,14,14,14,14,14,14,17.1,16.828446952749076,17.371553047250927,14.50469053110757,14.501680433459951,14.50770062875519,14.156162660686753,14.154801794035626,14.157523527337881,14.52426986186311,14.521199823046857,14.527339900679362
p3d_075_t14.2,P3-D0.75,14.2,0.75,103,30,45,44.73419910658064,45.26580089341936,8420,8387.254397898168,8452.745602101832,1690.9,1675.6852639670706,1706.1147360329296,5042.433333333333,5018.487511827883,5066.3791548387835,1686.6666666666667,1671.8167638043865,1701.516569528947,14,14,14,14,14,14,17,16.734199106580643,17.265800893419357,14.52426986186311,14.521199823046857,14.527339900679362,14.155654447245892,14.154321580234331,14.156987314257453,14.54399666455407,14.540858071067614,14.547135258040527
p3d_075_t14.2,P3-D0.75,14.2,0.75,104,30,45.06666666666667,44.81921950136292,45.31411383197042,8504.133333333333,8470.45116654616,8537.815500120507,1707.4,1691.9553326570842,1722.844667342916,5092.133333333333,5068.418565308589,5115.848101358078,1704.6,1689.8018470739423,1719.3981529260575,14.466666666666667,14.285090088772252,14.648243244561082,14,14,14,16.6,16.253438035263102,16.9465619647369,14.54399666455407,14.540858071067614,14.547135258040527,14.155989508407629,14.154749177748021,14.157229839067236,14.563952163293417,14.560828958076188,14.567075368510645
p3d_075_t14.2,P3-D0.75,14.2,0.75,105,30,44.766666666666666,44.474235347160096,45.059097986173235,8584.566666666668,8550.68543390356,8618.447899429775,1724.8333333333333,1709.3331629128143,1740.3335037538523,5137.766666666666,5114.234901473887,5161.298431859446,1721.9666666666667,1707.2073904194724,1736.725942913861,14.466666666666667,14.285090088772252,14.648243244561082,14,14,14,16.3,15.899640850890277,16.700359149109726,14.563952163293417,14.560828958076188,14.567075368510645,14.154484293174503,14.153017103939689,14.155951482409318,14.583756884509985,14.58071731427905,14.586796454740918
p3d_075_t14.2,P3-D0.75,14.2,0.75,106,30,44.2,43.68185867103501,44.718141328965,8669.5,8635.671843122907,8703.328156877093,1741.6333333333334,1726.173839655781,1757.092827010886,5187.833333333333,5164.608037565035,5211.058629101631,1740.0333333333333,1725.0174990568385,1755.0491676098281,14,14,14,14,14,14,16.2,15.681858671035005,16.718141328964993,14.583756884509985,14.58071731427905,14.586796454740918,14.151640104090143,14.149039951091062,14.154240257089224,14.604238952581461,14.601495925569564,14.606981979593359
p3d_075_t14.2,P3-D0.75,14.2,0.75,107,30,43.36666666666667,42.92107014453437,43.812263188798966,8754.4,8720.288232355064,8788.511767644935,1757.1,1740.8667258874311,1773.3332741125687,5238.866666666667,5215.359862194548,5262.373471138785,1758.4333333333334,1742.8503143782405,1774.0163522884263,14,14,14,14,14,14,15.366666666666667,14.92107014453437,15.812263188798964,14.604238952581461,14.601495925569564,14.606981979593359,14.147453329758513,14.145215332424486,14.149691327092539,14.626000905740893,14.624302140352162,14.627699671129625
p3d_075_t14.2,P3-D0.75,14.2,0.75,108,30,42.666666666666664,42.33663799033222,42.99669534300111,8841.833333333334,8805.813011248916,8877.853655417752,1772.8,1755.8268386136149,1789.773161386385,5294.933333333333,5270.524485950481,5319.342180716186,1774.1,1758.0203228316275,1790.1796771683723,14,14,14,14,14,14,14.666666666666666,14.336637990332223,14.99669534300111,14.626000905740893,14.624302140352162,14.627699671129625,14.143937600501687,14.142279526532322,14.145595674471052,14.64964690734956,14.648844223344092,14.650449591355027
