demand,target,policy,policy_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,population_weighted_exposure_mean,late_population_weighted_exposure_mean,late_central_use_mean,late_central_budget_mean,late_central_budget_sd,late_target_gap,late_budget_direction_changes,final_central_budget,runtime_ms
45,14,P2 fixed,p2,521,120,8583,4674,0.5445648374694163,0.6070496083550914,0.5194228634850167,3909,12079.38900482472,22753.713596387817,22828.32077712851,25517,0.5436507936507936,0.5469395788230663,0.5385500575373993,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.098391801510349,13.115211333527588,13.130534366069702,14,0,0,0,14,75.16004199999998
45,14,P2 fixed,p2,522,120,8415,4673,0.5553178847296494,0.6152317880794702,0.5631768953068592,3742,11974.592508811525,22625.065361319546,22697.692093945618,25411,0.5432464454976303,0.5524795857398924,0.5756154747948418,0.3331906698052643,0.3334046650973679,0.3334046650973679,13.09724474017209,13.115193634128138,13.130528814866148,14,0,0,0,14,74.31266699999969
45,14,P2 fixed,p2,523,120,8540,4680,0.5480093676814989,0.600384862091084,0.5330296127562643,3860,12069.454353203677,22573.247010734973,22638.895400746598,25214,0.5520894643908181,0.5513651541936752,0.5342857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115206247726286,13.115210920664564,13.130534175841431,14,0,0,0,14,77.01354100000026
45,14,P2 fixed,p2,524,120,8484,4676,0.5511551155115512,0.6087524493794906,0.5416666666666666,3808,11914.81292910952,22483.27543142344,22556.464722562898,25248,0.5738396624472574,0.5437366062731346,0.5514184397163121,0.33340461933276305,0.33340461933276305,0.3331907613344739,13.10566122945917,13.11520830396767,13.130533336253608,14,0,0,0,14,74.76249999999982
45,14,P2 fixed,p2,525,120,8516,4680,0.5495537811178958,0.618229854689564,0.519134775374376,3836,11869.223332695994,22479.716094224583,22549.516165307796,25129,0.5420118343195266,0.5509967098896845,0.5527426160337553,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115210437976918,13.115214087787512,13.130535053256033,14,0,0,0,14,75.51516600000014
45,14,P2 fixed,p2,526,120,8461,4675,0.5525351613284482,0.6273584905660378,0.5451368666278392,3786,11777.005351288246,22416.865924941707,22487.695929769805,25101,0.5406839622641509,0.5539638932496075,0.5602156980227682,0.333475935828877,0.3332620320855615,0.3332620320855615,13.099537050500611,13.115213367813004,13.13053488213803,14,0,0,0,14,83.23695799999996
45,14,P2 fixed,p2,527,120,8470,4679,0.5524203069657615,0.614323258869908,0.5460910151691949,3791,11786.255710900386,22389.216164949506,22464.293198299525,25177,0.5356932153392331,0.5527409459726895,0.5679442508710801,0.33340457362684334,0.33340457362684334,0.3331908527463133,13.114064634294463,13.115208575492206,13.130533543570147,14,0,0,0,14,74.33750000000009
45,14,P2 fixed,p2,528,120,8546,4680,0.5476246197051252,0.600384862091084,0.5300113250283126,3866,12150.103605198085,22902.964031309763,22977.39133424344,25604,0.5404304828388597,0.5523734797959984,0.5407750144592249,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207387990209,13.11520243086914,13.130531487344618,14,0,0,0,14,76.5590000000002
45,14,P2 fixed,p2,529,120,8502,4680,0.5504587155963303,0.6358695652173914,0.5454545454545454,3822,11719.838015916226,22404.280649244352,22478.416249086513,25232,0.5525087514585765,0.5439549776829031,0.5688073394495413,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207096226555,13.115208466571794,13.130533293816228,14,0,0,0,14,75.15879200000018
45,14,P2 fixed,p2,530,120,8533,4676,0.5479901558654635,0.6032362459546926,0.5333333333333333,3857,12262.869894854093,23239.802363744893,23311.545055756058,25849,0.542305508233958,0.5466118292205249,0.5582232893157263,0.33340461933276305,0.33340461933276305,0.3331907613344739,13.105658789174077,13.115204375190359,13.130532103416835,14,0,0,0,14,80.31500000000005
