setting,policy,target,delay,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high
p3u_t10_d3,P3-U,10,3,1,19,30,29.433333333333334,27.92773100354006,30.938935663126607,1348.9666666666667,1333.0038116823903,1364.9295216509431,5,5,5,4.127701155565001,4.120141871321332,4.13526043980867,5,5,5,44.63333333333333,39.71648078122674,49.55018588543992,0,0,0
p3u_t10_d3,P3-U,10,3,1,20,30,24.833333333333332,21.827485801109987,27.839180865556678,1453.2666666666667,1436.4509696831294,1470.082363650204,5,5,5,4.237277248190563,4.128274677154972,4.346279819226154,5,5,5,57.86666666666667,48.82663539150292,66.90669794183042,0,0,0
p3u_t10_d3,P3-U,10,3,1,21,30,25.066666666666666,22.552189278341515,27.581144054991817,1552.6666666666667,1535.5561965149654,1569.777136818368,5,5,5,4.205281286622208,4.108813565423408,4.301749007821008,5.427897924566971,5.358060644765297,5.497735204368645,54.96666666666667,48.57673680657757,61.356596526755766,0,0,0
p3u_t10_d3,P3-U,10,3,1,22,30,25.766666666666666,25.12458189170502,26.40875144162831,1654.6,1638.9108222261843,1670.2891777738155,5.427897924566971,5.358060644765297,5.497735204368645,4.938446960908036,4.804131022894985,5.072762898921086,8.951277231227971,8.88493880054206,9.017615661913883,54.86666666666667,51.76445404386208,57.96887928947125,0,0,0
p3u_t10_d3,P3-U,10,3,1,23,30,18.266666666666666,15.587258302852627,20.946075030480706,1765.4333333333334,1749.1779506991911,1781.6887159674757,8.951277231227971,8.88493880054206,9.017615661913883,8.847535682469605,8.71315687813107,8.98191448680814,12.40891088231363,12.313380244344055,12.504441520283207,75.96666666666667,67.85403142813844,84.0793019051949,0,0,0
p3u_t10_d3,P3-U,10,3,1,24,30,26.5,24.536061428495362,28.463938571504638,1868.9333333333334,1852.1142230275257,1885.7524436391411,12.40891088231363,12.313380244344055,12.504441520283207,12.039639955561842,11.980796119860399,12.098483791263286,15.88574211034031,15.775127186247792,15.996357034432828,55.56666666666667,49.127037725165884,62.006295608167456,0,0,0
p3d_025_t10_d3,P3-D0.25,10,3,0.25,1,30,44.36666666666667,43.931092337569346,44.80224099576399,34.1,31.59887503012294,36.60112496987706,20,20,20,19.12736237186346,19.12517509540871,19.129549648318207,20,20,20,0,0,0,0,0,0
p3d_025_t10_d3,P3-D0.25,10,3,0.25,2,30,45.833333333333336,45.69769238290556,45.96897428376111,67.13333333333334,62.78124107039427,71.4854255962724,20,20,20,19.13473101120081,19.134050947483697,19.135411074917922,20,20,20,0,0,0,0,0,0
p3d_025_t10_d3,P3-D0.25,10,3,0.25,3,30,45.96666666666667,45.90133333333333,46.032000000000004,102.06666666666666,96.1657271947401,107.96760613859323,20,20,20,19.13539596930597,19.13506998907013,19.135721949541814,20,20,20,0,0,0,0,0,0
p3d_025_t10_d3,P3-D0.25,10,3,0.25,4,30,45.96666666666667,45.90133333333333,46.032000000000004,134.83333333333334,129.2609495116697,140.40571715499698,20,20,20,19.13539485466419,19.13506915653174,19.135720552796645,18.63089564422048,18.630567552752268,18.631223735688692,0,0,0,0,0,0
p3d_025_t10_d3,P3-D0.25,10,3,0.25,5,30,45.8,45.65441485486919,45.945585145130806,173,166.73321193563416,179.26678806436584,18.63089564422048,18.630567552752268,18.631223735688692,18.139581120044188,18.138851491009042,18.140310749079333,17.26068599254036,17.26036640889459,17.26100557618613,0,0,0,0,0,0
