setting,factor,level,demand,seed,policy,requests,dispatched,completion_rate,final_queue,peak_queue,mean_wait,peak_lae_db,peak_budget_utilization,population_weighted_equivalent,route_1_share,route_2_share,route_3_share,budget_reference_missions,source_adjustment_db,validation_adjustment_db,altitude_m,speed_mps,route_weight_km
validation_minus_rmse,validation error,-2.29 dB,45,501,P0,1547,1092,0.7058823529411765,455,455,1119.6746476384355,77.636842038065,1.358605474095402,473.8864915478952,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,501,P1,1547,1062,0.6864899806076277,485,485,1199.3531207973365,77.13734565101831,1.2109971359243787,86.00366436847892,0.7862523540489642,0,0.2137476459510358,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,501,P2,1547,1092,0.7058823529411765,455,455,1121.5702848777385,76.20298498238807,0.976571937253764,367.99270832985405,0.21336996336996336,0.7252747252747253,0.06135531135531135,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,501,P3-U,1547,1048,0.6774402068519716,499,499,1259.2834431283075,76.20298309879364,0.9999924719997136,290.6567420103882,0.3425572519083969,0.5562977099236641,0.10114503816793893,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,501,P3-D,1547,1024,0.6619263089851325,523,523,1317.3081922975252,76.20298309879364,0.9999604935440674,294.71376433032333,0.3212890625,0.5859375,0.0927734375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,502,P0,1485,1088,0.7326599326599327,397,397,960.1162571760914,77.63684181590719,1.3586049402102398,472.15059714113204,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,502,P1,1485,1060,0.7138047138047138,425,425,1039.0841461137486,77.0301933313908,1.1814860705596935,85.84174102554891,0.8169811320754717,0,0.1830188679245283,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,502,P2,1485,1087,0.731986531986532,398,398,967.7083146592802,76.20298337864206,0.9765715766290916,367.5877094051317,0.22079116835326587,0.7286108555657773,0.050597976080956765,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,502,P3-U,1485,1064,0.7164983164983165,421,421,1007.8047394117568,76.20298149504694,0.9998385219518712,291.95247122901895,0.37124060150375937,0.5479323308270677,0.08082706766917293,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,502,P3-D,1485,1024,0.6895622895622896,461,461,1146.9287600290245,76.20298149504694,0.9999826391877141,294.71391770631215,0.3369140625,0.5859375,0.0771484375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,503,P0,1516,1097,0.7236147757255936,419,419,1070.7535533209925,77.63684270453837,1.3586070757508877,476.0564357428583,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,503,P1,1516,1067,0.7038258575197889,449,449,1158.9192538044313,77.24199455856505,1.240532304477412,86.40840866717664,0.8134957825679475,0,0.18650421743205248,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,503,P2,1516,1097,0.7236147757255936,419,419,1071.1152118008795,76.2029840551984,0.9765717287622097,368.397590448112,0.22789425706472197,0.7219690063810392,0.05013673655423884,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,503,P3-U,1516,1048,0.6912928759894459,468,468,1252.684108059723,76.20166136435057,0.9999352672704891,290.65677096768655,0.35877862595419846,0.5562977099236641,0.08492366412213741,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,503,P3-D,1516,1024,0.6754617414248021,492,492,1308.7474601148785,76.20166136435057,0.9999778089907629,294.7139157331113,0.333984375,0.5859375,0.080078125,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,504,P0,1522,1096,0.7201051248357424,426,426,1057.750479511096,77.636842038065,1.3586054740954019,475.6223290687313,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,504,P1,1522,1065,0.6997371879106439,457,457,1151.0884008367207,76.92032710413127,1.1519685985768737,86.24659806743065,0.8131455399061033,0,0.18685446009389672,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,504,P2,1522,1095,0.7194480946123522,427,427,1063.5297809938704,76.20298402598351,0.9765717221928353,368.23578303259507,0.23378995433789954,0.7232876712328767,0.042922374429223746,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,504,P3-U,1522,1048,0.6885676741130092,474,474,1236.4115465099342,76.20166432210885,0.9999516577523822,290.65683176727555,0.35591603053435117,0.5562977099236641,0.08778625954198473,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,504,P3-D,1522,1024,0.6727989487516426,498,498,1285.9527971755792,76.20166432210885,0.9999990617997372,294.713880589713,0.3349609375,0.5859375,0.0791015625,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,505,P0,1562,1094,0.7003841229193342,468,468,1156.3208221889506,77.63684248238059,1.3586065418657256,474.7545708078928,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,505,P1,1562,1063,0.6805377720870679,499,499,1256.808489098638,77.2419938286579,1.2405307028228783,86.08447486158354,0.7968015051740357,0,0.20319849482596425,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,505,P2,1562,1094,0.7003841229193342,468,468,1156.7522764791445,76.20298315722341,0.9765715268400293,368.1547995110523,0.22577696526508226,0.7239488117001828,0.050274223034734916,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,505,P3-U,1562,1048,0.6709346991037132,514,514,1319.8719270465724,76.20298248066695,0.999951604959237,290.656783157528,0.36259541984732824,0.5562977099236641,0.08110687022900763,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,505,P3-D,1562,1024,0.6555697823303457,538,538,1376.7660041427566,76.20298248066695,0.9999700231365756,294.71378922434116,0.328125,0.5859375,0.0859375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,506,P0,1521,1096,0.7205785667324129,425,425,1069.7743432604575,77.63684270453837,1.3586070757508877,475.6223737648168,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,506,P1,1521,1064,0.6995397764628534,457,457,1175.1602292005894,77.13734565101831,1.2109971359243787,86.16557746202858,0.7885338345864662,0,0.21146616541353383,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,506,P2,1521,1095,0.7199211045364892,426,426,1075.8039739189376,76.202985349881,0.9765720198896969,368.2356112806647,0.2100456621004566,0.7232876712328767,0.06666666666666667,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,506,P3-U,1521,1048,0.6890203813280736,473,473,1235.7999649549736,76.20298214238868,0.9999927458412652,290.656798896315,0.3463740458015267,0.5562977099236641,0.09732824427480916,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,506,P3-D,1521,1024,0.673241288625904,497,497,1298.6140038637548,76.20298214238868,0.9999387067336213,294.71386309282315,0.328125,0.5859375,0.0859375,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,507,P0,1491,1068,0.716297786720322,423,423,930.4500397906297,77.6368422602228,1.3586060079805637,463.4714582963174,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,507,P1,1491,1046,0.7015425888665325,445,445,975.6811783760113,77.03026987617528,1.1815016315905287,84.70785740044391,0.7925430210325047,0,0.2074569789674952,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,507,P2,1491,1068,0.716297786720322,423,423,931.4465797896718,76.2029840551984,0.9765717287622098,366.04921044489515,0.2050561797752809,0.7415730337078652,0.05337078651685393,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,507,P3-U,1491,1048,0.7028839704896043,443,443,949.9494807117961,76.20298149504694,0.9999926712023873,290.65668757925727,0.34446564885496184,0.5562977099236641,0.09923664122137404,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,507,P3-D,1491,1024,0.6867873910127431,467,467,1000.3605002650559,76.20298149504694,0.9999985569219825,294.7139252857985,0.333984375,0.5859375,0.080078125,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,508,P0,1526,1097,0.718872870249017,429,429,1037.06705188035,77.63684248238059,1.3586065418657258,476.05635447724836,0,1,0,20,0,-2.2863840116087695,80,15,0.35
validation_minus_rmse,validation error,-2.29 dB,45,508,P1,1526,1062,0.6959370904325033,464,464,1161.5401545508353,77.2419192229105,1.2405114045981314,86.00358749812618,0.7947269303201506,0,0.20527306967984935,20,0,-2.2863840116087695,80,15,0.35
