model_version,protocol_version,config_id,seed,demand_stream_id,policy,demand,population,delay,gain,fixed_budget,requests_received,requests_dispatched,completion_rate,final_queue,mean_wait_minutes,p95_wait_minutes,distance_units,energy_points,charging_minutes,mean_utilization,peak_period_exposure,cumulative_exposure,population_weighted_burden,exposure_gini,total_budget_adjustment,budget_at_bound_share,budget_oscillations,route_switching,route_1_share,route_2_share,route_3_share
0.6,0.1,P3-D_D80_C_L1_G0p6,423,d80-s423,P3-D,80,concentrated,1,0.6,,2715,1496,0.551012891344383,1219,1804.909090909091,4238.25,21402,42804,10701,0.5293836805555556,39.19999999999998,4573.8,558.18,0.17446227547237614,225.6600000000002,0.3148148148148148,8,0.45821489952406147,0.43114973262032086,0.33890374331550804,0.22994652406417113
0.6,0.1,P3-D_D80_C_L1_G1p5,423,d80-s423,P3-D,80,concentrated,1,1.5,,2715,1492,0.5495395948434623,1223,1819.333780160858,4256.700000000001,21406,42812,10703,0.5292968750000001,39.19999999999998,4546.400000000001,545.7622222222222,0.15422214401626655,325.2000000000002,0.5138888888888888,17,1.0579336749683126,0.4195710455764075,0.32908847184986595,0.25134048257372654
0.6,0.1,P3-D_D80_C_L3_G0p15,423,d80-s423,P3-D,80,concentrated,3,0.15,,2715,1517,0.5587476979742173,1198,1764.9103493737641,4157.6,21400,42800,10700,0.530251736111111,39.19999999999998,4704.900000000001,614.4066666666666,0.26038574441303486,128.16750000000002,0.023148148148148147,1,0.5456269201228878,0.48055372445616346,0.38167435728411336,0.13777191825972313
0.6,0.1,P3-D_D80_C_L3_G0p6,423,d80-s423,P3-D,80,concentrated,3,0.6,,2715,1498,0.5517495395948434,1217,1800.8271028037384,4230.3499999999985,21410,42820,10705,0.5296440972222222,39.19999999999998,4582.200000000001,560.6533333333333,0.17727535051091436,262.40999999999997,0.26851851851851855,6,0.7675793808180773,0.4325767690253672,0.3404539385847797,0.22696929238985314
0.6,0.1,P3-D_D80_C_L3_G1p5,423,d80-s423,P3-D,80,concentrated,3,1.5,,2715,1494,0.5502762430939226,1221,1838.3480589022759,4262,21396,42792,10698,0.5291666666666667,69.99999999999999,4583.6,567.7155555555555,0.19916901804501075,976.65,0.3611111111111111,19,2.9955130728910238,0.44779116465863456,0.34805890227576974,0.20414993306559573
0.6,0.1,P0_D18_D,424,d18-s424,P0,18,dispersed,,,,611,610,0.9983633387888707,1,1.6508196721311474,11,7802,15604,3901,0.19578993055555557,44.799999999999976,2061.2000000000003,229.0222222222222,0.5762770338745498,0,0,0,1.5206279805505811,0.20163934426229507,0.7983606557377049,0
0.6,0.1,P1_D18_D,424,d18-s424,P1,18,dispersed,,,,611,610,0.9983633387888707,1,1.6508196721311474,11,7802,15604,3901,0.19578993055555557,34.999999999999986,1966.8,218.5333333333333,0.35638261812758465,0,0,0,3.3210432940858388,0.20163934426229507,0.6049180327868853,0.19344262295081968
0.6,0.1,P2_D18_D_B28,424,d18-s424,P2,18,dispersed,,,28,611,610,0.9983633387888707,1,1.8852459016393444,11,8010,16020,4005,0.20030381944444445,27.99999999999999,2020.3999999999996,224.48888888888888,0.5024747574737674,0,0,0,2.8974997499365824,0.28688524590163933,0.6934426229508197,0.019672131147540985
0.6,0.1,P2_D18_D_B34,424,d18-s424,P2,18,dispersed,,,34,611,610,0.9983633387888707,1,1.7442622950819673,11,7862,15724,3931,0.1970920138888889,33.59999999999999,2047.4000000000003,227.4888888888889,0.5506604582505725,0,0,0,2.323667235202739,0.2262295081967213,0.7639344262295082,0.009836065573770493
0.6,0.1,P2_D18_D_B40,424,d18-s424,P2,18,dispersed,,,40,611,610,0.9983633387888707,1,1.6639344262295082,11,7810,15620,3905,0.19596354166666666,39.19999999999998,2058.4,228.7111111111111,0.5707129593643387,0,0,0,1.6039613138839142,0.20491803278688525,0.7918032786885246,0.003278688524590164
0.6,0.1,P3-U_D18_D_L0_G0p15,424,d18-s424,P3-U,18,dispersed,0,0.15,,611,610,0.9983633387888707,1,1.6508196721311474,11,7802,15604,3901,0.19578993055555557,44.799999999999976,2061.2000000000003,229.0222222222222,0.5762770338745498,259.6649999999998,0.4351851851851852,13,1.5206279805505811,0.20163934426229507,0.7983606557377049,0
0.6,0.1,P3-U_D18_D_L0_G0p6,424,d18-s424,P3-U,18,dispersed,0,0.6,,611,610,0.9983633387888707,1,1.6540983606557378,11,7842,15684,3921,0.19665798611111115,44.799999999999976,2052.7999999999997,228.08888888888893,0.5610548194336189,336.71999999999986,0.7777777777777778,14,1.5602678508356127,0.2180327868852459,0.7770491803278688,0.004918032786885246
0.6,0.1,P3-U_D18_D_L0_G1p5,424,d18-s424,P3-U,18,dispersed,0,1.5,,611,610,0.9983633387888707,1,1.8278688524590163,11,7934,15868,3967,0.19865451388888888,44.799999999999976,2034.1999999999996,226.0222222222222,0.5272288314270421,362.39999999999986,0.8564814814814815,10,2.5493844338800895,0.25573770491803277,0.7295081967213115,0.014754098360655738
