budget,method,method_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,runtime_ms
14.05,Rolling 10 fair,rolling10_fair,515,120,14802,4680,0.3161734900689096,0.35267520723436324,0.31388329979879276,10122,18546.656889121932,34307.28019062048,34425.93691391346,38405,0.3249581239530988,0.31523937963587323,0.31003768413840355,0.3333333333333333,0.3333333333333333,0.3333333333333333,267.997374999999
14.05,Rolling 10 fair,rolling10_fair,516,120,14879,4680,0.3145372672894684,0.35320754716981134,0.30678466076696165,10199,18533.226062625483,34419.91206283329,34540.031043380506,38488,0.3094017094017094,0.32122625791402865,0.29922060318536087,0.3333333333333333,0.3333333333333333,0.3333333333333333,262.45854099999997
14.05,Rolling 10 fair,rolling10_fair,517,120,14968,4680,0.3126670229823624,0.3561643835616438,0.3046875,10288,18508.885954025856,34441.92331613907,34560.442821578814,38519,0.31644736842105264,0.3117100995414383,0.31168396384332103,0.3333333333333333,0.3333333333333333,0.3333333333333333,260.31354100000317
14.05,Rolling 10 fair,rolling10_fair,518,120,15023,4680,0.3115223324236171,0.34873323397913564,0.3026188166828322,10343,18586.275698306537,34409.90541562717,34529.85961173212,38489,0.3146397130746658,0.31384581055450184,0.3013698630136986,0.3333333333333333,0.3333333333333333,0.3333333333333333,253.14304199999606
14.05,Rolling 10 fair,rolling10_fair,519,120,14890,4680,0.3143049026192075,0.3619489559164733,0.3008678881388621,10210,18282.059771881446,34185.68349983563,34303.26062380987,38283,0.32323897300855825,0.3131199278629396,0.3087248322147651,0.3333333333333333,0.3333333333333333,0.3333333333333333,231.67566700000316
14.05,Rolling 10 fair,rolling10_fair,520,120,15146,4680,0.30899247326026674,0.3544112078758046,0.30077120822622105,10466,18560.60343682134,34442.81727770293,34561.7314417978,38515,0.29937766131673765,0.31267853219072733,0.3075894349715814,0.3333333333333333,0.3333333333333333,0.3333333333333333,290.5170419999995
14.05,Rolling 10 fair,rolling10_fair,521,120,15092,4680,0.310098065200106,0.3462819089900111,0.30972865651886167,10412,18638.221612086927,34553.58754804298,34674.14520093929,38645,0.3114478114478115,0.31069348280030773,0.30697982136950047,0.3333333333333333,0.3333333333333333,0.3333333333333333,286.06524999999965
14.05,Rolling 10 fair,rolling10_fair,522,120,14972,4680,0.3125834891798023,0.34513274336283184,0.30608240680183124,10292,18733.495790381967,34637.66971228256,34758.43386746578,38764,0.30074942978168784,0.30932062506926744,0.33541666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,272.7812090000007
14.05,Rolling 10 fair,rolling10_fair,523,120,15011,4680,0.3117713676637133,0.35174746335963925,0.30809743252139565,10331,18615.906400307464,34562.06185723563,34681.69583801332,38587,0.30738916256157633,0.3115282096845846,0.31701553004726535,0.3333333333333333,0.3333333333333333,0.3333333333333333,268.75562500000524
14.05,Rolling 10 fair,rolling10_fair,524,120,14954,4680,0.3129597432125184,0.350693143499438,0.3116883116883117,10274,18630.41966206495,34456.5548288163,34578.520277259944,38552,0.31495263870094725,0.3063711911357341,0.33097880928355194,0.3333333333333333,0.3333333333333333,0.3333333333333333,266.4594580000048
14.05,Rolling 10 fair,rolling10_fair,525,120,15123,4680,0.3094624082523309,0.3571156047310187,0.2980891719745223,10443,18489.95541890216,34310.74627951985,34428.65316500998,38272,0.2999019928128063,0.30985446061548716,0.3178699771316563,0.3333333333333333,0.3333333333333333,0.3333333333333333,257.6130419999972
14.05,Rolling 10 fair,rolling10_fair,526,120,15150,4680,0.3089108910891089,0.35043055035567205,0.2980891719745223,10470,18665.788722795864,34697.27708874055,34815.183775709294,38755,0.31120466321243523,0.3129619415333701,0.29429429429429427,0.3333333333333333,0.3333333333333333,0.3333333333333333,248.7335830000011
14.05,Rolling 10 fair,rolling10_fair,527,120,14897,4680,0.31415721286165,0.3475677682881545,0.31728813559322033,10217,18677.48987929679,34668.9337168092,34789.815535352995,38734,0.30434782608695654,0.31563685032344413,0.3193839973217275,0.3333333333333333,0.3333333333333333,0.3333333333333333,291.69216700000106
14.05,Rolling 10 fair,rolling10_fair,528,120,15067,4680,0.31061259706643657,0.35360785795239896,0.2962962962962963,10387,18532.142488356436,34396.75122351797,34517.07895644233,38394,0.3148697659083416,0.31063829787234043,0.30637886597938147,0.3333333333333333,0.3333333333333333,0.3333333333333333,288.6027909999975
14.05,Rolling 10 fair,rolling10_fair,529,120,14874,4680,0.31464300121016536,0.3460258780036969,0.3162162162162162,10194,18600.052598008097,34469.173763549625,34586.30668757379,38452,0.3118862174060278,0.31351472399507335,0.32073578595317725,0.3333333333333333,0.3333333333333333,0.3333333333333333,281.7927920000002
14.05,Rolling 10 fair,rolling10_fair,530,120,15004,4680,0.3119168221807518,0.34782608695652173,0.2893353941267388,10324,18595.95356679532,34558.08691615991,34676.06788332213,38600,0.3139458030403173,0.315641515798943,0.2991896272285251,0.3333333333333333,0.3333333333333333,0.3333333333333333,265.3183330000029
14.05,Rolling 30 throughput,rolling30_throughput,501,120,15018,4680,0.3116260487415102,0.3491234613950019,0.3018381167365366,10338,18646.88733608503,34650.70997282999,34827.194290131956,38754,0.3158429248476642,0.30924052040475924,0.3145555193747965,0.3333333333333333,0.3333333333333333,0.3333333333333333,410.2104590000017
14.05,Rolling 30 throughput,rolling30_throughput,502,120,14935,4680,0.3133578841647138,0.3606936416184971,0.29942418426103645,10255,18492.297368558,34365.245771310474,34545.99297799298,38473,0.3153970826580227,0.3092053501180173,0.3237385709448019,0.3333333333333333,0.3333333333333333,0.3333333333333333,415.9261669999978
14.05,Rolling 30 throughput,rolling30_throughput,503,120,15156,4680,0.3087885985748218,0.3492537313432836,0.2943396226415094,10476,18620.865976594112,34564.15789098043,34743.125958357996,38767,0.3086785009861933,0.30656854130052724,0.31561461794019935,0.3333333333333333,0.3333333333333333,0.3333333333333333,422.53362500000367
14.05,Rolling 30 throughput,rolling30_throughput,504,120,14935,4680,0.3133578841647138,0.3502994011976048,0.3036988968202466,10255,18601.40508733366,34548.96027287408,34728.36287513998,38569,0.3169912693082606,0.31256236833351814,0.31211708645336966,0.3333333333333333,0.3333333333333333,0.3333333333333333,407.35416599999735
14.05,Rolling 30 throughput,rolling30_throughput,505,120,14696,4680,0.3184540010887316,0.34373852368710983,0.3088089739359947,10016,18674.25695954008,34645.4609674237,34821.30636041375,38788,0.32446264073694986,0.3159147585581501,0.3200815494393476,0.3333333333333333,0.3333333333333333,0.3333333333333333,408.0558749999982
14.05,Rolling 30 throughput,rolling30_throughput,506,120,14887,4680,0.31436824074696046,0.3439911797133407,0.30478671442526867,10207,18697.258159549867,34676.787992813,34854.873886516834,38753,0.3216432865731463,0.3122583579713441,0.31332687963859307,0.3333333333333333,0.3333333333333333,0.3333333333333333,412.87625000000116
14.05,Rolling 30 throughput,rolling30_throughput,507,120,14932,4680,0.31342084114653096,0.3388848660391021,0.301255230125523,10252,18780.44363257998,34637.6113349569,34820.429442072396,38703,0.2998691955526488,0.31467116357504216,0.32359852299429337,0.3333333333333333,0.3333333333333333,0.3333333333333333,423.3744579999984
14.05,Rolling 30 throughput,rolling30_throughput,508,120,15103,4680,0.3098722108190426,0.3336898395721925,0.3009646302250804,10423,19005.9779243093,34908.39879009396,35085.34691440993,38993,0.3119841531858699,0.3076411223244982,0.31436048413477263,0.3333333333333333,0.3333333333333333,0.3333333333333333,394.390625
14.05,Rolling 30 throughput,rolling30_throughput,509,120,15068,4680,0.31059198301035307,0.35240963855421686,0.2932330827067669,10388,18574.371602779138,34537.709828201565,34711.23979348133,38804,0.2940785096473719,0.3140523236560327,0.3166833166833167,0.3333333333333333,0.3333333333333333,0.3333333333333333,396.0073749999938
14.05,Rolling 30 throughput,rolling30_throughput,510,120,15073,4680,0.31048895375837593,0.3424807903402854,0.3075911929017417,10393,18706.791342161443,34592.92315811879,34767.26565291776,38639,0.3111711103611205,0.3101968980310197,0.31069890692282215,0.3333333333333333,0.3333333333333333,0.3333333333333333,384.4522910000014
14.05,Rolling 30 throughput,rolling30_throughput,511,120,14783,4680,0.316579855239126,0.35082458770614694,0.312,10103,18460.513099261167,34154.21423944124,34327.65055162413,38207,0.3239145416953825,0.3149277326106594,0.3143801652892562,0.3333333333333333,0.3333333333333333,0.3333333333333333,390.51966600000014
14.05,Rolling 30 throughput,rolling30_throughput,512,120,14929,4680,0.3134838234309063,0.3606936416184971,0.3027166882276843,10249,18310.55489006878,34133.76367986983,34312.50065135837,38168,0.30601477312697856,0.31576631092529434,0.31364698031364696,0.3333333333333333,0.3333333333333333,0.3333333333333333,388.0023749999964
14.05,Rolling 30 throughput,rolling30_throughput,513,120,14926,4680,0.3135468310330966,0.350693143499438,0.3050847457627119,10246,18444.540988393448,34109.22426899,34288.08797487422,38116,0.3132944005496393,0.3165627782724844,0.30484988452655887,0.3333333333333333,0.3333333333333333,0.3333333333333333,385.2633330000026
14.05,Rolling 30 throughput,rolling30_throughput,514,120,14983,4680,0.31235400120136153,0.3439911797133407,0.31252086811352253,10303,18777.12364509485,34864.938786318,35038.70418883834,39157,0.31663920922570016,0.3132570285587287,0.3051881993896236,0.3333333333333333,0.3333333333333333,0.3333333333333333,388.19487500000105
14.05,Rolling 30 throughput,rolling30_throughput,515,120,14802,4680,0.3161734900689096,0.35267520723436324,0.31388329979879276,10122,18545.279983534765,34306.28227710619,34483.96312837404,38479,0.3269681742043551,0.3136659923578332,0.3127783487495718,0.3333333333333333,0.3333333333333333,0.3333333333333333,387.6546660000022
14.05,Rolling 30 throughput,rolling30_throughput,516,120,14879,4680,0.3145372672894684,0.35320754716981134,0.30678466076696165,10199,18532.08237901038,34419.22229850328,34592.018683929586,38582,0.30974358974358973,0.32044873930911916,0.30125381226702813,0.3333333333333333,0.3333333333333333,0.3333333333333333,391.4381250000006
14.05,Rolling 30 throughput,rolling30_throughput,517,120,14968,4680,0.3126670229823624,0.3561643835616438,0.3046875,10288,18507.48003169384,34440.8792140283,34615.30348290172,38598,0.3180921052631579,0.31059165641427133,0.3133578841647138,0.3333333333333333,0.3333333333333333,0.3333333333333333,401.74341699999786
14.05,Rolling 30 throughput,rolling30_throughput,518,120,15023,4680,0.3115223324236171,0.34873323397913564,0.3026188166828322,10343,18585.022012819976,34409.302537892174,34592.4741397509,38564,0.3165960221715031,0.3128416824723865,0.3023722018042098,0.3333333333333333,0.3333333333333333,0.3333333333333333,386.95616699999664
14.05,Rolling 30 throughput,rolling30_throughput,519,120,14890,4680,0.3143049026192075,0.3619489559164733,0.3008678881388621,10210,18280.806107787772,34184.36384949221,34363.91267567149,38347,0.3248847926267281,0.3121055004508566,0.3100671140939597,0.3333333333333333,0.3333333333333333,0.3333333333333333,389.8237089999966
14.05,Rolling 30 throughput,rolling30_throughput,520,120,15146,4680,0.30899247326026674,0.3544112078758046,0.30077120822622105,10466,18559.425832014003,34442.51999470688,34621.56929013196,38592,0.3019980347199476,0.3115798725554823,0.30825810765630224,0.3333333333333333,0.3333333333333333,0.3333333333333333,394.4430829999983
14.05,Rolling 30 throughput,rolling30_throughput,521,120,15092,4680,0.310098065200106,0.3462819089900111,0.30972865651886167,10412,18637.0022509631,34553.15705378075,34724.13570356457,38701,0.31414141414141417,0.3093746565556655,0.30830301025471385,0.3333333333333333,0.3333333333333333,0.3333333333333333,388.14120900000125
14.05,Rolling 30 throughput,rolling30_throughput,522,120,14972,4680,0.3125834891798023,0.34513274336283184,0.30608240680183124,10292,18732.344964610842,34637.86653616553,34818.36989633432,38808,0.3033561420658195,0.3084340019949019,0.33541666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,387.0971669999999
14.05,Rolling 30 throughput,rolling30_throughput,523,120,15011,4680,0.3117713676637133,0.35174746335963925,0.30809743252139565,10331,18614.546558909566,34560.53604300534,34750.91378834197,38678,0.309688013136289,0.31008440693025324,0.3190411883862255,0.3333333333333333,0.3333333333333333,0.3333333333333333,386.6513330000016
14.05,Rolling 30 throughput,rolling30_throughput,524,120,14954,4680,0.3129597432125184,0.350693143499438,0.3116883116883117,10274,18629.027455442498,34455.38657560443,34637.3173717906,38573,0.3152909336941813,0.30548476454293627,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,386.95895899999596
14.05,Rolling 30 throughput,rolling30_throughput,525,120,15123,4680,0.3094624082523309,0.3571156047310187,0.2980891719745223,10443,18488.51987838314,34309.50141814958,34484.903736135784,38352,0.30120875530872265,0.3086323741806466,0.32015681149951,0.3333333333333333,0.3333333333333333,0.3333333333333333,390.15054200000304
14.05,Rolling 30 throughput,rolling30_throughput,526,120,15150,4680,0.3089108910891089,0.35043055035567205,0.2980891719745223,10470,18664.62368360798,34696.36862370859,34866.4460549735,38825,0.3118523316062176,0.311969111969112,0.29662996329662994,0.3333333333333333,0.3333333333333333,0.3333333333333333,394.8911250000019
14.05,Rolling 30 throughput,rolling30_throughput,527,120,14897,4680,0.31415721286165,0.3475677682881545,0.31728813559322033,10217,18676.19306159655,34667.03582753084,34841.231966616106,38773,0.30570652173913043,0.31440999330805264,0.32172748577167726,0.3333333333333333,0.3333333333333333,0.3333333333333333,383.36295800000516
14.05,Rolling 30 throughput,rolling30_throughput,528,120,15067,4680,0.31061259706643657,0.35360785795239896,0.2962962962962963,10387,18530.636835902256,34395.752971535854,34574.298687048344,38524,0.31717771183646554,0.3089585666293393,0.3089561855670103,0.3333333333333333,0.3333333333333333,0.3333333333333333,386.5048749999987
14.05,Rolling 30 throughput,rolling30_throughput,529,120,14874,4680,0.31464300121016536,0.3460258780036969,0.3162162162162162,10194,18598.822456701153,34468.77257906784,34643.1743392194,38501,0.3132407720961734,0.3123950285522338,0.32274247491638797,0.3333333333333333,0.3333333333333333,0.3333333333333333,384.0024579999954
