budget,method,method_id,period,cases,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,oldest_queue_age_mean,oldest_queue_age_ci_low,oldest_queue_age_ci_high,north_dispatched_mean,north_dispatched_ci_low,north_dispatched_ci_high,central_dispatched_mean,central_dispatched_ci_low,central_dispatched_ci_high,south_dispatched_mean,south_dispatched_ci_low,south_dispatched_ci_high,north_trips_mean,north_trips_ci_low,north_trips_ci_high,central_trips_mean,central_trips_ci_low,central_trips_ci_high,south_trips_mean,south_trips_ci_low,south_trips_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14.1,Rolling 3 fair,rolling3_fair,88,30,41,41,41,7269.6,7236.320894872774,7302.8791051272265,27020.39253040161,26957.54168751011,27083.243373293106,27143.237338831506,27081.316027473837,27205.158650189176,27219.8,27157.99726252687,27281.602737473127,8.4,7.510460069835917,9.289539930164084,24.1,22.974850344564587,25.225149655435416,8.5,7.463078384456371,9.53692161554363,14,14,14,13,13,13,14,14,14,0.9982573798830827,0.9982571377607484,0.998257622005417
14.1,Rolling 3 fair,rolling3_fair,89,30,41,41,41,7359.9,7326.15501546811,7393.644984531889,27344.325187716517,27280.990594157505,27407.659781275528,27462.525533789038,27397.289929914343,27527.761137663732,27537,27471.429284585265,27602.570715414735,8.866666666666667,8.06521342722025,9.668119906113084,23.733333333333334,22.887908195999906,24.578758470666763,8.4,7.363717342070014,9.436282657929986,14,14,14,13,13,13,14,14,14,0.9982573761353944,0.9982571029501173,0.9982576493206716
14.1,Rolling 3 fair,rolling3_fair,90,30,41,41,41,7443.966666666666,7409.93630334911,7477.9970299842225,27663.45305844486,27598.190019262707,27728.71609762701,27785.346951628733,27719.951857259937,27850.74204599753,27862.4,27796.5408487344,27928.259151265604,8.1,7.382153027545516,8.817846972454484,25.8,24.973235304292107,26.626764695707895,7.1,6.1775617517475325,8.022438248252467,14,14,14,13,13,13,14,14,14,0.9982576225372705,0.9982573559217987,0.9982578891527423
14.1,Rolling 3 fair,rolling3_fair,91,30,41,41,41,7528.833333333333,7494.863801936874,7562.802864729792,27991.197324761226,27925.321179598337,28057.073469924115,28115.05624542105,28048.378823869745,28181.73366697235,28190.766666666666,28123.558536050616,28257.974797282717,8.133333333333333,7.273408218532553,8.993258448134112,24.433333333333334,23.326649466966508,25.54001719970016,8.433333333333334,7.4269542619844495,9.439712404682217,14,14,14,13,13,13,14,14,14,0.9982573678075329,0.998257158679186,0.9982575769358799
14.1,Rolling 3 fair,rolling3_fair,92,30,41,41,41,7617.3,7583.897256625847,7650.702743374153,28317.167573746825,28250.23246593934,28384.10268155431,28439.00395610351,28370.811046525465,28507.19686568155,28515.7,28447.657557311715,28583.742442688286,8.133333333333333,7.006680296620566,9.2599863700461,23.233333333333334,22.00200035472253,24.46466631194414,9.633333333333333,8.65905732942029,10.607609337246375,14,14,14,13,13,13,14,14,14,0.9982572999205037,0.9982570311366422,0.9982575687043652
14.1,Rolling 3 fair,rolling3_fair,93,30,41,41,41,7703.3,7669.16021232988,7737.4397876701205,28645.818716315018,28577.98294406153,28713.654488568507,28768.52709315945,28700.251618460734,28836.802567858165,28845.866666666665,28777.722959970906,28914.010373362424,7.566666666666666,6.517328075492586,8.616005257840746,24.933333333333334,23.52705652294608,26.339610143720588,8.5,7.42955310653721,9.57044689346279,14,14,14,13,13,13,14,14,14,0.9982573781503444,0.9982571474031072,0.9982576088975816
14.1,Rolling 3 fair,rolling3_fair,94,30,41,41,41,7791.7,7757.210330387535,7826.189669612465,28975.803466413716,28908.97817153787,29042.62876128956,29098.78252660197,29032.300497541728,29165.264555662216,29174.7,29107.969141925176,29241.430858074826,8.433333333333334,7.621207566880626,9.245459099786041,24.866666666666667,23.87777064533977,25.855562687993565,7.7,6.91853859274147,8.48146140725853,14,14,14,13,13,13,14,14,14,0.9982570610857476,0.998256869607696,0.9982572525637993
14.1,Rolling 3 fair,rolling3_fair,95,30,41,41,41,7878.9,7843.948527968776,7913.851472031223,29296.795982171774,29230.145632864143,29363.446331479405,29415.175313230076,29346.669354470196,29483.681271989957,29489.766666666666,29421.37723550945,29558.15609782388,8.1,7.221699970096359,8.97830002990364,25.233333333333334,23.991288769995123,26.475377896671546,7.666666666666667,6.744308203757795,8.589025129575539,14,14,14,13,13,13,14,14,14,0.998257417501401,0.9982571455989493,0.9982576894038526
14.1,Rolling 3 fair,rolling3_fair,96,30,41,41,41,7962.433333333333,7928.669075298033,7996.197591368634,29622.691931287816,29555.307937657297,29690.075924918336,29746.581893727143,29680.93073279352,29812.233054660766,29822.033333333333,29756.598824065233,29887.467842601432,7.466666666666667,6.810635455372897,8.122697877960437,24.9,23.90835425309422,25.891645746905777,8.633333333333333,7.623450247652968,9.643216419013697,14,14,14,13,13,13,14,14,14,0.9982573988403899,0.9982571476783773,0.9982576500024025
14.1,Rolling 3 fair,rolling3_fair,97,30,41,41,41,8051.4,8017.257696764089,8085.54230323591,29947.82493034344,29881.391054458418,30014.25880622846,30070.12854207869,30003.739688186317,30136.517395971066,30145.8,30079.06522142229,30212.53477857771,7.533333333333333,6.531131190998956,8.53553547566771,25.466666666666665,24.28268354573489,26.65064978759844,8,7.278165810105153,8.721834189894846,14,14,14,13,13,13,14,14,14,0.998257281843182,0.9982570341871264,0.9982575294992375
