setting,policy,target,delay,damping,initial_budget,seed,requests,dispatched,completion_rate,final_queue,blocked_dispatch_attempts,head_of_line_blocked_attempts,head_of_line_share,warm_budget_mean,warm_budget_sd,warm_dispatch_mean,warm_dispatch_sd,budget_direction_changes,periods_within_point_one,final_central_budget,final_central_use
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,514,2721,895,0.3289231900036751,1826,564,0,0,11.4725776255093,0.6769457142304264,34.875,3.947573094109004,0,0,10.865427773338451,10.100430186839674
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,515,2654,895,0.3372268274302939,1759,500,0,0,11.473610161797243,0.6769099564134115,34.9375,3.785388575386504,0,0,10.86617209928159,10.105440805701106
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,516,2650,895,0.33773584905660375,1755,514,0,0,11.473230388954033,0.6771778687774208,35,4.033195589934446,0,0,10.866171488950314,10.105440707325455
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,517,2628,895,0.3405631659056317,1733,507,0,0,11.473236827082093,0.6771738325769835,35,4.033195589934446,0,0,10.866184964716027,10.105433425673564
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,518,2684,895,0.3334575260804769,1789,513,0,0,11.47380460513028,0.6771988543991084,35,3.8297084310253524,0,0,10.866184158700516,10.105443406882959
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,519,2586,895,0.34609435421500384,1691,500,0,0,11.474043027499407,0.6775991979204129,35.125,4.031128874149275,0,0,10.866183860204275,10.105436544411877
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,520,2641,895,0.33888678530859523,1746,552,0,0,11.473611583471609,0.6769058169372998,34.9375,3.785388575386504,0,0,10.866177996099855,10.105448433836374
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,521,2703,895,0.3311135775064743,1808,521,0,0,11.473984420320912,0.6775613307244703,35.125,4.064070209367287,0,0,10.866177828568947,10.1054565795281
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,522,2712,895,0.3300147492625369,1817,522,0,0,11.473234591274458,0.677174211286341,35,4.033195589934446,0,0,10.866180106813687,10.105461285676355
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,523,2661,895,0.33633972190905675,1766,490,0,0,11.473375647095782,0.677430975914174,35.0625,4.122600312100766,0,0,10.866178267575775,10.1054565795281
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,524,2669,895,0.33533158486324466,1774,500,0,0,11.473616196640188,0.6769078920213292,34.9375,3.785388575386504,0,0,10.866186071720156,10.105441028130617
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,525,2621,895,0.3414727203357497,1726,492,0,0,11.47323957728526,0.6771740788724643,35,4.033195589934446,0,0,10.866188468666262,10.105467202347818
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,526,2671,895,0.33508049419693,1776,542,0,0,11.473795974646283,0.6771999806253198,35,3.8297084310253524,0,0,10.866171736548878,10.105443060399585
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,527,2693,895,0.3323431117712588,1798,510,0,0,11.47385091580523,0.6773081625475824,35.0625,3.9743972289308642,0,0,10.866179110807453,10.105449297876207
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,528,2647,895,0.33811862485833016,1752,528,0,0,11.47305304945909,0.67719965954941,34.9375,3.906724971123511,0,0,10.865432581987,10.100422460328756
