demand,target,policy,policy_id,comparison,fixed_budget,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_late24_service_ratio_mean,delta_late24_service_ratio_ci_low,delta_late24_service_ratio_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_population_weighted_exposure_mean_mean,delta_population_weighted_exposure_mean_ci_low,delta_population_weighted_exposure_mean_ci_high,delta_late_mean_wait_minutes_mean,delta_late_mean_wait_minutes_ci_low,delta_late_mean_wait_minutes_ci_high
80,14.1,P3-U,p3u,same_target,14.1,30,0.009791941716390726,0.009756232820102002,0.00982765061267945,0.007737175712615009,0.007645328928880904,0.007829022496349114,-146.63333333333333,-146.90704588216326,-146.3596207845034,0.7850706238042308,0.7847566867344131,0.7853845608740484,-501.4523874376453,-507.33644666173757,-495.56832821355306
80,14.1,P3-U,p3u,nearest_exposure,14.15,30,0.0017808433948874455,0.001758031270488571,0.00180365551928632,-0.00006520677816209131,-0.00013553306327034775,0.000005119506946165117,-26.666666666666668,-26.983033009432848,-26.350300323900488,0.05061334310729328,0.04997787534606686,0.05124881086851969,-100.90214245404725,-102.35395363894935,-99.45033126914515
80,14.15,P3-D0.50,p3d_05,same_target,14.15,30,0.004545368222047882,0.0045292475782751284,0.0045614888658206355,0.0013003970817961803,0.0012900159208660818,0.0013107782427262788,-68.06666666666666,-68.19733333333333,-67.93599999999999,0.16759281512486743,0.16711842012610817,0.1680672101236267,-263.9753880721133,-267.1087712581964,-260.84200488603017
80,14.15,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.004545368222047882,0.0045292475782751284,0.0045614888658206355,0.0013003970817961803,0.0012900159208660818,0.0013107782427262788,-68.06666666666666,-68.19733333333333,-67.93599999999999,0.16759281512486743,0.16711842012610817,0.1680672101236267,-263.9753880721133,-267.1087712581964,-260.84200488603017
80,14.15,P3-U,p3u,same_target,14.15,30,0.0029427008299657237,0.0029300281338354864,0.002955373526095961,0.0006501985408980856,0.0006450079604330373,0.0006553891213631339,-44.06666666666667,-44.19733333333334,-43.936,0.10035492193235243,0.09988075840119713,0.10082908546350773,-155.6736959883162,-157.7457205639475,-153.60167141268494
80,14.15,P3-U,p3u,nearest_exposure,14.15,30,0.0029427008299657237,0.0029300281338354864,0.002955373526095961,0.0006501985408980856,0.0006450079604330373,0.0006553891213631339,-44.06666666666667,-44.19733333333334,-43.936,0.10035492193235243,0.09988075840119713,0.10082908546350773,-155.6736959883162,-157.7457205639475,-153.60167141268494
80,18,P3-D0.50,p3d_05,same_target,18,30,-0.00018965371638182682,-0.0002633752142396053,-0.0001159322185240483,-0.00004438213618277638,-0.00014883863744724602,0.00006007436508169324,2.8333333333333335,1.7330519342866524,3.933614732380015,-0.03327941319594151,-0.043217959425304805,-0.023340866966578208,10.314398955043119,6.4373278570135035,14.191470053072734
80,18,P3-D0.50,p3d_05,nearest_exposure,18,30,-0.00018965371638182682,-0.0002633752142396053,-0.0001159322185240483,-0.00004438213618277638,-0.00014883863744724602,0.00006007436508169324,2.8333333333333335,1.7330519342866524,3.933614732380015,-0.03327941319594151,-0.043217959425304805,-0.023340866966578208,10.314398955043119,6.4373278570135035,14.191470053072734
80,18,P3-U,p3u,same_target,18,30,-0.00022751127690669263,-0.0003166657371432629,-0.00013835681667012236,-0.0001348031222376441,-0.0003096832018514873,0.000040076957376199124,3.4,2.069003519094093,4.730996480905906,-0.025460557009215932,-0.03699802269498019,-0.013923091323451672,11.96023663112525,7.440218116826457,16.480255145424042
80,18,P3-U,p3u,nearest_exposure,18,30,-0.00022751127690669263,-0.0003166657371432629,-0.00013835681667012236,-0.0001348031222376441,-0.0003096832018514873,0.000040076957376199124,3.4,2.069003519094093,4.730996480905906,-0.025460557009215932,-0.03699802269498019,-0.013923091323451672,11.96023663112525,7.440218116826457,16.480255145424042
