setting,policy,target,delay,damping,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,final_queue_north,final_queue_central,final_queue_south,late_trip_north_share,late_trip_central_share,late_trip_south_share,late_budget_mean,late_budget_sd,late_dispatch_mean,late_dispatch_sd,late_use_mean,late_use_sd,late_direction_changes,final_central_budget,target_gap,first_sustained_within_point_one,first_sustained_dispatch_below_40
p3d_075_t16,P3-D0.75,16,1,0.75,525,120,15123,5087,0.33637505785889044,0.3868752384586036,0.3273885350318471,10036,2051,5971,2014,0.36186770428015563,0.3715953307392996,0.26653696498054474,16.324382918592075,0.22466281334138,42.833333333333336,6.976149845485449,16.05181601692036,0.27896563685521464,2,16.06887917568655,0.32438291859207524,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,526,120,15150,5087,0.3357755775577558,0.3803818794459004,0.3273885350318471,10063,2042,5996,2025,0.36089494163424124,0.3715953307392996,0.26750972762645914,16.322814863716086,0.22510173255194285,42.833333333333336,7.263168949460406,16.051814179993602,0.2783738792475178,2,16.064415298457,0.32281486371608636,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,527,120,14897,5087,0.3414781499630798,0.37616041589305604,0.34779661016949154,9810,1968,5899,1943,0.36257309941520466,0.3723196881091618,0.2651072124756335,16.32127911549172,0.22541953264061573,42.75,7.338107800172775,16.0513924669331,0.27829436219238707,2,16.064389151210655,0.32127911549171984,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,528,120,15067,5087,0.3376252737771288,0.38194182092935397,0.3247863247863248,9980,1996,5920,2064,0.3635477582846004,0.3723196881091618,0.26413255360623783,16.32225654957306,0.22453090873477632,42.75,6.9735525223955035,16.05139519307598,0.27805513236115836,2,16.06676721516239,0.3222565495730585,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,529,120,14874,5087,0.3420061852897674,0.3752310536044362,0.34662162162162163,9787,1968,5871,1948,0.3654970760233918,0.3723196881091618,0.2621832358674464,16.324428680534574,0.22478612357887787,42.75,6.998447032704128,16.05140064691094,0.278849193473299,2,16.07343154546621,0.32442868053457374,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,530,120,15004,5087,0.3390429218874967,0.3771832032701598,0.317774343122102,9917,1978,5857,2082,0.3638132295719844,0.3715953307392996,0.26459143968871596,16.326170010194073,0.22492585695801406,42.833333333333336,6.869381762364168,16.05181791098106,0.2788981461347794,2,16.071223898329112,0.32617001019407255,0,0
p2_b17,P2,17,0,0,501,120,15018,5457,0.3633639632441071,0.4073107049608355,0.35182199290551436,9561,1862,5744,1955,0.3519706691109074,0.3519706691109074,0.29605866177818513,17,0,45.458333333333336,0.5882299658752715,16.14791474336862,0.002946372330359762,0,17,0,1,0
p2_b17,P2,17,0,0,502,120,14935,5458,0.3654502845664546,0.42003853564547206,0.34996801023672425,9477,1939,5691,1847,0.3510054844606947,0.3510054844606947,0.2979890310786106,17,0,45.583333333333336,0.5036101551853348,16.148536712078144,0.0025220613997201124,0,17,0,1,0
p2_b17,P2,17,0,0,503,120,15156,5461,0.3603193454737398,0.4078358208955224,0.34276729559748426,9695,1953,5827,1915,0.3522935779816514,0.3522935779816514,0.29541284403669726,17,0,45.416666666666664,0.5835920751217646,16.147703664270896,0.0029205974016789805,0,17,0,1,0
p2_b17,P2,17,0,0,504,120,14935,5453,0.3651155005021761,0.4086826347305389,0.3539909149902661,9482,1886,5722,1874,0.3519706691109074,0.3519706691109074,0.29605866177818513,17,0,45.458333333333336,0.721060008759246,16.147910885659666,0.003616540612114323,0,17,0,1,0
p2_b17,P2,17,0,0,505,120,14696,5452,0.37098530212302666,0.3995593095850165,0.3606070603761135,9244,1848,5547,1849,0.3513266239707228,0.3513266239707228,0.29734675205855443,17,0,45.541666666666664,0.5089773777040514,16.14832687992311,0.002549324833896097,0,17,0,1,0
p2_b17,P2,17,0,0,506,120,14887,5458,0.3666286021360919,0.4009555310547593,0.3549332464995116,9429,1888,5564,1977,0.3522935779816514,0.3522935779816514,0.29541284403669726,17,0,45.416666666666664,0.8297022339981067,16.147703422219504,0.0041608420137028085,0,17,0,1,0
p2_b17,P2,17,0,0,507,120,14932,5454,0.3652558264130726,0.3953656770456191,0.35049887351142583,9478,1963,5638,1877,0.3526170798898072,0.3526170798898072,0.29476584022038566,17,0,45.375,0.5757792451369143,16.14749680783194,0.0028858986679992727,0,17,0,1,0
p2_b17,P2,17,0,0,508,120,15103,5455,0.36118651923458917,0.38823529411764707,0.35112540192926045,9648,1931,5767,1950,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.5107539184552492,16.14812075380019,0.00255778748227515,0,17,0,1,0
p2_b17,P2,17,0,0,509,120,15068,5464,0.36262277674542076,0.4118975903614458,0.34210526315789475,9604,1959,5758,1887,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.5897678246195885,16.14811769734067,0.002957722971351012,0,17,0,1,0
p2_b17,P2,17,0,0,510,120,15073,5455,0.36190539375041464,0.3991950237833882,0.35885639171869865,9618,1888,5798,1932,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.5107539184552492,16.14811950418989,0.0025602914103360335,0,17,0,1,0
p2_b17,P2,17,0,0,511,120,14783,5462,0.369478454982074,0.4085457271364318,0.36466666666666664,9321,1802,5594,1925,0.3510054844606947,0.3510054844606947,0.2979890310786106,17,0,45.583333333333336,0.5835920751217646,16.148536795866807,0.002925068952672291,0,17,0,1,0
p2_b17,P2,17,0,0,512,120,14929,5456,0.36546319244423603,0.42003853564547206,0.351875808538163,9473,1826,5731,1916,0.35294117647058826,0.35294117647058826,0.29411764705882354,17,0,45.333333333333336,0.637022057270606,16.1472862275174,0.0031956467550270985,0,17,0,1,0
p2_b17,P2,17,0,0,513,120,14926,5447,0.364933672785743,0.4061446234544773,0.35495436766623206,9479,1862,5660,1957,0.3526170798898072,0.3526170798898072,0.29476584022038566,17,0,45.375,0.6468989572333266,16.14749460985747,0.0032430237919705692,0,17,0,1,0
p2_b17,P2,17,0,0,514,120,14983,5458,0.3642795167856904,0.4009555310547593,0.3642737896494157,9525,1913,5725,1887,0.3519706691109074,0.3519706691109074,0.29605866177818513,17,0,45.458333333333336,0.6580053301400783,16.14790958416337,0.003297280290166823,0,17,0,1,0
p2_b17,P2,17,0,0,515,120,14802,5452,0.3683286042426699,0.40994724943481536,0.36619718309859156,9350,1845,5639,1866,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.5897678246195885,16.148120989298025,0.002956749363217301,0,17,0,1,0
p2_b17,P2,17,0,0,516,120,14879,5463,0.36716177162443714,0.4120754716981132,0.35889872173058013,9416,1869,5645,1902,0.3506849315068493,0.3506849315068493,0.29863013698630136,17,0,45.625,0.6468989572333266,16.148744526133,0.003239999223109796,0,17,0,1,0
p2_b17,P2,17,0,0,517,120,14968,5466,0.36517904863709244,0.4147640791476408,0.3564453125,9502,1931,5665,1906,0.3506849315068493,0.3506849315068493,0.29863013698630136,17,0,45.625,0.5757792451369143,16.14874428047806,0.0028832094659394293,0,17,0,1,0
p2_b17,P2,17,0,0,518,120,15023,5460,0.36344272116088666,0.4061102831594635,0.3530552861299709,9563,1949,5683,1931,0.3516483516483517,0.3516483516483517,0.2967032967032967,17,0,45.5,0.5897678246195885,16.148119813335438,0.0029570935341678016,0,17,0,1,0
p2_b17,P2,17,0,0,519,120,14890,5451,0.3660846205507052,0.42072699149265275,0.350369656059145,9439,1897,5636,1906,0.3522935779816514,0.3522935779816514,0.29541284403669726,17,0,45.416666666666664,0.5835920751217646,16.14770545864243,0.002926397656399503,0,17,0,1,0
p2_b17,P2,17,0,0,520,120,15146,5464,0.3607553149346362,0.41385838697463084,0.3512210796915167,9682,1959,5802,1921,0.3513266239707228,0.3513266239707228,0.29734675205855443,17,0,45.541666666666664,0.5089773777040514,16.148327630930957,0.00254921257814093,0,17,0,1,0
p2_b17,P2,17,0,0,521,120,15092,5453,0.36131725417439703,0.4043655197928228,0.35969556585043017,9639,1883,5789,1967,0.3532658693652254,0.3532658693652254,0.2934682612695492,17,0,45.291666666666664,0.7506036218280918,16.147082180435515,0.0037646278685497577,0,17,0,1,0
p2_b17,P2,17,0,0,522,120,14972,5456,0.36441357200106866,0.4026548672566372,0.3567691301504251,9516,1981,5767,1768,0.3519706691109074,0.3519706691109074,0.29605866177818513,17,0,45.458333333333336,0.6580053301400783,16.147911466422553,0.003299315008388525,0,17,0,1,0
p2_b17,P2,17,0,0,523,120,15011,5458,0.36360002664712543,0.41037204058624577,0.3597761685319289,9553,1938,5760,1855,0.3513266239707228,0.3513266239707228,0.29734675205855443,17,0,45.541666666666664,0.5882299658752714,16.148328471785586,0.0029457278724525156,0,17,0,1,0
p2_b17,P2,17,0,0,524,120,14954,5458,0.36498595693459945,0.40839265642562755,0.3643023643023643,9496,1877,5788,1831,0.3510054844606947,0.3510054844606947,0.2979890310786106,17,0,45.583333333333336,0.6538625481582944,16.14853548868999,0.003279089446016112,0,17,0,1,0
