seed,source_period,budget,method,workload_cap,requests,planned,planned_workload,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
526,18,14.15,Time plan 930,930,121,42,866.6592986755053,42,42,79,75.46082146855572,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,18,14.15,Time plan 960,960,121,42,866.6592986755053,42,42,79,75.46082146855572,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,18,16,Greedy event,0,121,0,0,44,44,77,141.97037827692978,0,0,0,0.3409090909090909,0.3409090909090909,0.3181818181818182,0.9466006345771009
526,18,16,Time plan 900,900,121,43,886.9926320088385,43,43,78,84.34211290950832,0,1,1,0.3488372093023256,0.3488372093023256,0.3023255813953488,0.9462823214958717
526,18,16,Time plan 930,930,121,45,928.5635342951841,45,45,76,83.68229971372658,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,18,16,Time plan 960,960,121,45,928.5635342951841,45,45,76,83.68229971372658,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,18,17,Greedy event,0,121,0,0,44,44,77,141.5203115736612,0,0,0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.9494459578480704
526,18,17,Time plan 900,900,121,43,886.5405141989991,43,43,78,90.45901300466568,0,1,1,0.37209302325581395,0.37209302325581395,0.2558139534883721,0.9491469808533962
526,18,17,Time plan 930,930,121,45,928.1114164853446,45,45,76,90.89506829776941,0,1,1,0.35555555555555557,0.35555555555555557,0.28888888888888886,0.9497373890211859
526,18,17,Time plan 960,960,121,46,948.8968676285175,46,46,75,90.71610991458064,0,1,1,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.9500325931050807
526,18,18,Greedy event,0,121,0,0,45,45,76,144.6318963293348,0,0,0,0.37777777777777777,0.37777777777777777,0.24444444444444444,0.9522543548393554
526,18,18,Time plan 900,900,121,43,886.0883963891596,43,43,78,94.3771251419123,0,1,1,0.3953488372093023,0.3953488372093023,0.20930232558139536,0.9516933447267513
526,18,18,Time plan 930,930,121,45,927.6592986755052,45,45,76,96.38455061091975,0,1,1,0.37777777777777777,0.37777777777777777,0.24444444444444444,0.9522509524407748
526,18,18,Time plan 960,960,121,46,948.444749818678,46,46,75,96.88077483375294,0,1,1,0.3695652173913043,0.3695652173913043,0.2608695652173913,0.9525297562977867
526,19,14,Greedy event,0,132,0,0,39,39,93,125.2496709919507,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378968491075637
526,19,14,Time plan 900,900,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,19,14,Time plan 930,930,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,19,14,Time plan 960,960,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,19,14.05,Greedy event,0,132,0,0,23,23,109,66.3810150943343,0,0,0,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996580321312085
526,19,14.05,Time plan 900,900,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,19,14.05,Time plan 930,930,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,19,14.05,Time plan 960,960,132,39,804.7550630558263,39,39,93,105.01135636073077,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,19,14.1,Greedy event,0,132,0,0,33,33,99,103.68798445811204,0,0,0,0.42424242424242425,0.42424242424242425,0.15151515151515152,0.9996736222858921
526,19,14.1,Time plan 900,900,132,41,846.325965342172,41,41,91,108.32190149083723,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896131
526,19,14.1,Time plan 930,930,132,41,846.325965342172,41,41,91,108.32190149083723,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896131
526,19,14.1,Time plan 960,960,132,41,846.325965342172,41,41,91,108.32190149083723,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896131
526,19,14.15,Greedy event,0,132,0,0,42,42,90,134.50590561232653,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993357350703097
526,19,14.15,Time plan 900,900,132,42,866.6592986755053,42,42,90,113.34707939642928,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,19,14.15,Time plan 930,930,132,42,866.6592986755053,42,42,90,113.34707939642928,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,19,14.15,Time plan 960,960,132,42,866.6592986755053,42,42,90,113.34707939642928,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
526,19,16,Greedy event,0,132,0,0,45,45,87,144.66432066903377,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.946915479355147
526,19,16,Time plan 900,900,132,43,886.9926320088385,43,43,89,121.22433476601357,0,1,1,0.3488372093023256,0.3488372093023256,0.3023255813953488,0.9462823214958717
526,19,16,Time plan 930,930,132,45,928.5635342951841,45,45,87,122.43642282105381,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,19,16,Time plan 960,960,132,45,928.5635342951841,45,45,87,122.43642282105381,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
526,19,17,Greedy event,0,132,0,0,45,45,87,144.66432066903377,0,0,0,0.35555555555555557,0.35555555555555557,0.28888888888888886,0.9497430325488391
526,19,17,Time plan 900,900,132,43,886.5405141989991,43,43,89,127.24153036952062,0,1,1,0.37209302325581395,0.37209302325581395,0.2558139534883721,0.9491469808533962
526,19,17,Time plan 930,930,132,45,928.1114164853448,45,45,87,120.88725155751968,0,1,1,0.28888888888888886,0.35555555555555557,0.35555555555555557,0.9497373890211859
526,19,17,Time plan 960,960,132,46,948.8968676285175,46,46,86,130.01489276390853,0,1,1,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.9500325931050807
526,19,18,Greedy event,0,132,0,0,45,45,87,144.22425544806,0,0,0,0.37777777777777777,0.37777777777777777,0.24444444444444444,0.9522557046396583
526,19,18,Time plan 900,900,132,43,886.0883963891596,43,43,89,129.70058643814394,0,1,1,0.3953488372093023,0.3953488372093023,0.20930232558139536,0.9516933447267513
526,19,18,Time plan 930,930,132,45,927.6592986755053,45,45,87,117.96030251620776,0,1,1,0.24444444444444444,0.37777777777777777,0.37777777777777777,0.9522509524407748
526,19,18,Time plan 960,960,132,46,948.444749818678,46,46,86,136.216790440886,0,1,1,0.3695652173913043,0.3695652173913043,0.2608695652173913,0.9525297562977867
526,20,14,Greedy event,0,141,0,0,39,39,102,124.209263995422,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378961997153248
526,20,14,Time plan 900,900,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,20,14,Time plan 930,930,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,20,14,Time plan 960,960,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,20,14.05,Greedy event,0,141,0,0,23,23,118,67.15161330502032,0,0,0,0.34782608695652173,0.6086956521739131,0.043478260869565216,0.9996573780481485
526,20,14.05,Time plan 900,900,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,20,14.05,Time plan 930,930,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,20,14.05,Time plan 960,960,141,39,804.7550630558263,39,39,102,95.57397153247915,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,20,14.1,Greedy event,0,141,0,0,33,33,108,101.25408756868747,0,0,0,0.42424242424242425,0.42424242424242425,0.15151515151515152,0.9996726052026105
526,20,14.1,Time plan 900,900,141,41,846.325965342172,41,41,100,97.7351208005491,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,20,14.1,Time plan 930,930,141,41,846.325965342172,41,41,100,97.7351208005491,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,20,14.1,Time plan 960,960,141,41,846.325965342172,41,41,100,97.7351208005491,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,20,14.15,Greedy event,0,141,0,0,42,42,99,135.3017970568734,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993345395665705
526,20,14.15,Time plan 900,900,141,42,866.6592986755053,42,42,99,103.54073464544902,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
